ID;Price Guide Sequence;Product Line;Product Name;Price (Non UPH Products);Price Grade 02;Price Grade 03;Price Grade 04;Price Grade 05;Price Grade 06;Price Grade 07;Price Grade 08;Price Grade 09;Price Grade 10;Price Grade 11;Price Grade 12;Price Grade 13;Price Optional Armpad or Armcap - Polyurethane;Price Optional Armcap - Polyurethane;Price Optional ArmPAD - Polyurethane;Price Optional Armpad or Armcap - Solid Surface;Price Optional Armcap - Solid Surface;Price Optional ArmPAD - Solid Surface;Price Optional Casters;Price Optional Swivel Tablet;Price Optional Chrome Finish;Price Optional Ganging Brackets;Price Optional Power Unit;Price Optional Bevel Edge;Price Optional Shelf;Country of Origin
AV7272;67;Avon Café Tables;"Oval Table 36x72"" - 42"" Tall";2.064;;;;;;;;;;;;;;;;;;;;;;;222;46;;US
AV8172;68;Avon Café Tables;"Rectangular Table 36x72"" - 30"" Tall";1.961;;;;;;;;;;;;;;;;;;;;;;;222;46;;US
AV8272;69;Avon Café Tables;"Rectangular Table 36x72"" - 42"" Tall";2.064;;;;;;;;;;;;;;;;;;;;;;;222;46;;US
BL1101;1;Belmont;Guest Chair;;1600;1.523;1.564;1.616;1.689;1.797;1.945;2.154;2.433;2.77;3.207;3.775;0;0;;340;340;;;;;;;;;US
BL1201;2;Belmont;Oversize Guest Chair;;1.779;1.759;1.813;1.882;1.98;2.124;2.321;2.6;2.973;3.421;4.004;4.761;0;0;;320;320;;;;;;;;;US
BL1401;3;Belmont;Bariatric Chair;;1.973;2.253;2.307;2.376;2.474;2.618;2.815;3.094;3.467;3.915;4.498;5.255;0;0;;320;320;;;;;;;;;US
BL1501;4;Belmont;Loveseat;;1.88;2.16;2.214;2.283;2.381;2.525;2.722;3.001;3.374;3.822;4.405;5.162;0;0;;320;320;;;;;;;;;US
BL2103;5;Belmont;2 Seats with Center Arm;;2.395;2.763;2.834;2.924;3.053;3.242;3.501;3.866;4.355;4.944;5.709;6.703;0;0;;480;480;;;;;;;;;US
BL3103;6;Belmont;3 Seats with Center Arms;;3.477;4.002;4.103;4.233;4.417;4.686;5.056;5.578;6.277;7.118;8.211;9.631;0;0;;640;640;;;;;;;;;US
BL4103;7;Belmont;4 Seats with Center Arms;;4.558;5.241;5.372;5.54;5.78;6.13;6.611;7.289;8.198;9.291;10.712;12.557;0;0;;800;800;;;;;;;;;US
BL5103;8;Belmont;5 Seats with Center Arms;;5.641;6.481;6.643;6.85;7.144;7.575;8.167;9.002;10.121;11.467;13.215;15.486;0;0;;960;960;;;;;;;;;US
BL2201;9;Belmont;2 Chairs with Connecting Center Table;;2.986;3.406;3.487;3.591;3.738;3.953;4.249;4.667;5.226;5.899;6.773;7.909;0;0;;640;640;;;;;;222;;;US
BL0620;10;Belmont;End Table;575;;;;;;;;;;;;;;;;;;;;;;;222;;;US
BL0624;11;Belmont;Corner Table;671;;;;;;;;;;;;;;;;;;;;;;;222;;;US
BL0840;12;Belmont;Coffee Table;742;;;;;;;;;;;;;;;;;;;;;;;222;;;US
BL0020;13;Belmont;Connecting Center Table;356;;;;;;;;;;;;;;;;;;;;;;;;;;US
PF0118;1;Bloom;Pouf Cylinder;;862;985;1.009;1.039;1.082;1.145;1.231;1.353;1.516;1.712;1.967;2.298;;;;;;;;;;;;;;US
PF0218;2;Bloom;Pouf Cube;;862;1.02;1.05;1.089;1.144;1.225;1.336;1.493;1.702;1.955;2.282;2.708;;;;;;;;;;;;;;US
PF0716;3;Bloom;"Pouf Table Cylinder 16"" Tall - Laminate Top";;841;1.058;1.08;1.109;1.149;1.209;1.291;1.406;1.561;1.747;1.989;2.303;;;;;;;;;;;222;;;US
PF0717;4;Bloom;"Pouf Table Cylinder 16"" Tall - Solid Surface Top";;1.236;1.353;1.375;1.404;1.444;1.504;1.586;1.701;1.856;2.042;2.284;2.598;;;;;;;;;;;222;;;US
PF0720;5;Bloom;"Pouf Table Cylinder 20"" Tall - Laminate Top";;986;1.103;1.125;1.154;1.194;1.254;1.336;1.451;1.606;1.792;2.034;2.348;;;;;;;;;;;222;;;US
PF0721;6;Bloom;"Pouf Table Cylinder 20"" Tall - Solid Surface Top";;1.298;1.415;1.437;1.466;1.506;1.566;1.648;1.763;1.918;2.104;2.346;2.66;;;;;;;;;;;222;;;US
PF0816;7;Bloom;"Pouf Table Cube 16"" Tall - Laminate Top";;941;1.058;1.08;1.109;1.149;1.209;1.291;1.406;1.561;1.747;1.989;2.303;;;;;;;;;;;222;;;US
PF0817;8;Bloom;"Pouf Table Cube 16"" Tall - Solid Surface Top";;1.236;1.353;1.376;1.404;1.444;1.504;1.586;1.701;1.856;2.042;2.284;2.598;;;;;;;;;;;222;;;US
PF0820;9;Bloom;"Pouf Table Cube 20"" Tall - Laminate Top";;986;1.103;1.125;1.154;1.194;1.254;1.336;1.451;1.606;1.792;2.034;2.348;;;;;;;;;;;222;;;US
PF0821;10;Bloom;"Pouf Table Cube 20"" Tall - Solid Surface Top";;1.298;1.415;1.437;1.466;1.506;1.566;1.648;1.763;1.918;2.104;2.346;2.66;;;;;;;;;;;222;;;US
PF6116;11;Bloom;"Laminate Table Cylinder 16"" Tall - Laminate Top";772;;;;;;;;;;;;;;;;;;;;;;;222;;;US
PF6216;12;Bloom;"Laminate Table Cylinder 16"" Tall - Solid Surface Top";1.157;;;;;;;;;;;;;;;;;;;;;;;222;;;US
PF6120;13;Bloom;"Laminate Table Cylinder 20"" Tall - Laminate Top";852;;;;;;;;;;;;;;;;;;;;;;;222;;;US
PF6220;14;Bloom;"Laminate Table Cylinder 20"" Tall - Solid Surface Top";1.231;;;;;;;;;;;;;;;;;;;;;;;222;;;US
PF6316;15;Bloom;"Laminate Table Cube 16"" Tall - Laminate Top";815;;;;;;;;;;;;;;;;;;;;;;;222;;;US
PF6416;16;Bloom;"Laminate Table Cube 16"" Tall - Solid Surface Top";1.209;;;;;;;;;;;;;;;;;;;;;;;222;;;US
PF6320;17;Bloom;"Laminate Table Cube 20"" Tall - Laminate Top";917;;;;;;;;;;;;;;;;;;;;;;;222;;;US
PF6420;18;Bloom;"Laminate Table Cube 20"" Tall - Solid Surface Top";1.313;;;;;;;;;;;;;;;;;;;;;;;222;;;US
BK1101;1;Brooklyn;Guest Chair;;764;878;900;928;968;1.026;1.107;1.22;1.371;1.553;1.79;2.098;68;;68;166;;166;;;;;;;;US
BK1201;2;Brooklyn;Oversize Guest Chair;;949;1.124;1.158;1.201;1.263;1.352;1.476;1.65;1.883;2.163;2.527;3.001;68;;68;166;;166;;;;;;;;US
